placebo_type,n_repeats,real_mcc,placebo_mean_mcc,placebo_std_mcc,z_score,p_value_ge
random_date,111,0.3858604196329898,-0.0590376844139915,0.125508003520789,3.544778751657412,0.0089285714285714
time_shift,398,0.3858604196329898,-0.0372223797757252,0.1292792461937197,3.272627369527433,0.0075187969924812
random_location,400,0.3858604196329898,0.0356680826766551,0.1251144979495556,2.798974880550839,0.0024937655860349
nonseismic_extreme,400,0.3858604196329898,0.0025363790926867,0.0546087965384963,7.019455927087874,0.0024937655860349
