subset,thr_raw_selected_on_val,thr_resid_selected_on_val,real_mcc_raw,placebo_mean_raw,placebo_std_raw,p_value_raw_ge,real_mcc_resid,placebo_mean_resid,placebo_std_resid,p_value_resid_ge
land_all,0.9467085466771884,0.6073751111334873,-0.0010762888946205,-0.0012664776230441,0.0095715709736875,0.4477611940298507,0.0997470378544903,0.0010515709716878,0.0085627110746688,0.0049751243781094
zone_1,0.9467085466771884,0.6073751111334873,0.0,0.0,0.0,1.0,-0.0098431242618243,0.0001057883045251,0.01060484683812,0.5074626865671642
zone_2,0.9467085466771884,0.6073751111334873,0.0045205784027136,-0.0013498266596411,0.0111952955283933,0.4427860696517413,-0.0058402773606102,-0.0001129567663129,0.0113234559477552,0.4975124378109453
