zone_type,n_control_windows,mean_z_eff_abs_vs_empirical_global,mean_z_eff_abs_vs_empirical_within_event,mean_z_eff_abs_vs_empirical_paired_robust,min_z_eff_abs_vs_empirical_paired_robust,frac_features_gt_2sigma_empirical_paired_robust,frac_features_gt_2sigma_theory
0,121,0.06102513961079024,1.2813944982419139,13.7553318661376,11.067194974423051,1.0,1.0
1,32,0.06756602338286007,1.449840899766745,6.351554040869077,3.270712854962152,1.0,1.0
2,18,0.12093704779093065,1.6348552426166942,8.45166958230514,4.664775627910557,1.0,1.0
3,10,0.04109169991541555,2.0468364643305557,5.9708074261554795,2.769220999676496,1.0,1.0
4,18,0.06441777333969359,1.4866963250138787,6.315353288803484,2.719639248742149,1.0,1.0
