mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode,feature_mode,zone_thresholds
0.01156338826164452,0.11539990911156556,0.11210442114431335,0.11877931347457404,2446,4063,31145,17412,55066,+10_-100,5,55066,0.62974,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 12257, ""n_val"": 91375, ""threshold"": 0.5266133333333333}, ""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 19055, ""n_val"": 22639, ""threshold"": 0.6131066666666667}, ""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 23754, ""n_val"": 0, ""threshold"": 0.62974}}"
0.01204319420350181,0.0027039978094194964,0.0021703761884633403,0.003368375931351413,80,79,29137,19402,48698,+30_+140,4,48698,0.9224866666666667,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 48698, ""n_val"": 81048, ""threshold"": 0.61976}}"
0.021532986571706176,0.005479221107645621,0.004301542342884054,0.006977066146589695,73,65,11798,7926,19862,+10_-090,2,19862,0.9657333333333333,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 19862, ""n_val"": 76936, ""threshold"": 0.5864933333333333}}"
0.02252905701485571,0.04577261578415813,0.043374832369681204,0.048296257952861424,921,1269,26455,15560,44205,+50_-160,3,44205,0.5632066666666666,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 44205, ""n_val"": 53580, ""threshold"": 0.5565533333333333}}"
0.023961649344103938,0.2725208471988412,0.2670949838434726,0.27801512228326525,3862,6961,18582,9218,38623,-30_-180,3,38623,0.7628066666666666,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 38623, ""n_val"": 90376, ""threshold"": 0.5432466666666667}}"
0.029042659357453104,0.3520527369826435,0.3435503065739106,0.36064998568213663,3599,4219,7765,5867,21450,-40_-080,2,21450,0.8226866666666667,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 9615, ""n_val"": 68439, ""threshold"": 0.5365933333333334}, ""4"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 11835, ""n_val"": 11748, ""threshold"": 0.5598799999999999}}"
0.050909553319039985,0.023827874116891457,0.021547170478657496,0.026343483910806913,401,371,15199,9165,25136,-40_+170,2,25136,0.53992,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 25136, ""n_val"": 72761, ""threshold"": 0.5632066666666666}}"
0.05154768699363031,0.1301181308150678,0.12627508085041733,0.13406019432056054,2588,3734,24963,12816,44101,-10_+140,4,44101,0.7827666666666666,zone_adaptive,land_residualized,"{""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 22651, ""n_val"": 20800, ""threshold"": 0.8426466666666667}, ""2"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 21450, ""n_val"": 11911, ""threshold"": 0.6031266666666667}}"
0.05956388929525311,0.36836123948784,0.3625619780206563,0.3741988077434728,9723,9724,16674,13060,49181,+00_+120,6,49181,0.58982,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 37758, ""n_val"": 86107, ""threshold"": 0.52994}, ""3"": {""mode"": ""fallback_global_single_class"", ""n_test"": 11423, ""n_val"": 5407, ""threshold"": 0.58982}}"
0.10608165337481315,0.01858349577647823,0.017604068210178764,0.019616327114415338,2241,1287,67968,36453,107949,-20_+160,10,107949,0.53992,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 96455, ""n_val"": 47912, ""threshold"": 0.6230866666666667}, ""4"": {""mode"": ""fallback_global_small_val"", ""n_test"": 11494, ""n_val"": 0, ""threshold"": 0.53992}}"
