mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold
-0.03757154722974587,0.6868496714129244,0.6815074404584366,0.6921427730578364,12680,20067,9149,6802,48698,+30_+140,4,48698,0.510031280564145
-0.026900962882532044,0.12751392073370454,0.124891711165602,0.1301829956774729,3713,7786,53274,30285,95058,-10_+150,9,95058,0.5023288497996872
-0.019854223045845398,0.5788034416060829,0.5708808822444246,0.5866856297766887,6459,8678,6315,5096,26548,-10_-080,3,26548,0.49162786828561744
-0.013935822066141005,0.3651531311900046,0.3593490180108282,0.37099670291743936,4565,9586,16666,8443,39260,-40_-180,3,39260,0.519803372648312
-0.012332236649937982,0.9996390152335571,0.9994671399796208,0.9997554652836697,38656,69230,25,38,107949,-20_+160,10,107949,0.4531591950766236
-0.00723765729505187,0.5261978303450354,0.5219490102861671,0.5304428598883881,16229,27939,25157,15058,84383,-20_-080,8,84383,0.5084315092968403
-0.0038897349416987573,0.449071331498066,0.44332366343332047,0.454832632639258,6855,12887,15810,8549,44101,-10_+140,4,44101,0.4974896508321608
-0.0008464525535789429,0.018972960690752102,0.01759948284796843,0.020451394451010744,372,668,34540,19486,55066,+10_-100,5,55066,0.5518140929261187
0.012061591472242252,0.684893954696292,0.679400259203189,0.6903364191900966,11478,18988,8736,5003,44205,+50_-160,3,44205,0.5061887216245002
0.0143744285240172,0.7286144932075324,0.7231271813426777,0.7340330519028113,9706,18611,6932,3374,38623,-30_-180,3,38623,0.4848094410149191
0.015090511247981754,0.012917645276157285,0.011624603331829112,0.014352427849515199,377,341,26057,22406,49181,+00_+120,6,49181,0.524952085800857
0.0415900910263821,0.9174030436917034,0.9149300154825841,0.9198104807283026,23294,44850,4038,1472,73654,-30_+170,6,73654,0.4561636311634026
