zone_type,feature,nedt_k_approx,n_control_samples,n_control_windows,mean_samples_per_window,sigma_control_sample_k,sigma_control_window_mean_k,sigma_control_within_event_k,n_events_within_event_sigma,n_control_null_pairs_within_event,sigma_control_paired_robust_mean_se_k,sigma_eff_theory_k,n_events_with_pairs,mean_event_control_delta_k,mean_abs_event_control_delta_k,z_eff_abs_vs_empirical_sigma,z_eff_abs_vs_empirical_within_event_sigma,z_eff_abs_vs_empirical_paired_robust_sigma,z_eff_abs_vs_theory_sigma,z_eff_mean_vs_empirical_sigma,frac_events_abs_delta_gt_2sigma_empirical,frac_events_abs_delta_gt_2sigma_empirical_within_event,frac_events_abs_delta_gt_2sigma_empirical_paired_robust,frac_events_abs_delta_gt_2sigma_theory,criterion_gt_2sigma_empirical,criterion_gt_2sigma_empirical_within_event,criterion_gt_2sigma_empirical_paired_robust,criterion_gt_2sigma_theory
0,BT_06_H,0.3,546893,121,4519.7768595041325,65.6867440970786,42.24269310575757,1.053292841511137,57,57,0.09004889830831192,0.0044623410281870645,64,0.28047024791020636,1.0459856708264779,0.02476133962879163,0.9930625459542898,11.615752002264404,234.40289843814003,0.006639497325798553,0.0,0.203125,0.8125,0.984375,False,False,True,True
0,BT_06_V,0.3,546893,121,4519.7768595041325,38.29336190049399,23.956060594670028,0.705434232388806,57,57,0.054365050537921546,0.0044623410281870645,64,0.15380994965856543,0.7232591401041746,0.03019107157647999,1.025267993665417,13.30375182121234,162.08065128496384,0.006420502613555191,0.0,0.171875,0.890625,1.0,False,False,True,True
0,BT_10_H,0.6,546893,121,4519.7768595041325,64.0263120660888,41.110210069969355,1.1124180000936539,57,57,0.08096505801859821,0.008924682056374129,64,0.24265495964021078,1.183132659578415,0.02877953329756111,1.0635684243502064,14.612879784593517,132.5686060416467,0.005902547304604218,0.0,0.171875,0.9375,1.0,False,False,True,True
0,BT_10_V,0.6,546893,121,4519.7768595041325,35.855816440193934,22.441688778202263,0.690366936790862,57,57,0.0617568799169012,0.008924682056374129,64,0.16379713314682975,0.683475431052377,0.030455614896337056,0.9900176190787469,11.067194974423053,76.58260840387356,0.0072987881957407245,0.0,0.203125,0.8125,0.96875,False,False,True,True
0,BT_23_H,0.6,546893,121,4519.7768595041325,42.926325692888476,29.65272590635812,1.7914348780014169,57,57,0.18962538400650783,0.008924682056374129,64,0.16115375926253162,2.6541136410536597,0.08950656507719468,1.4815574228490378,13.99661577461893,297.390273881864,0.005434703027689509,0.0,0.21875,0.875,0.984375,False,False,True,True
0,BT_23_V,0.6,546893,121,4519.7768595041325,23.40980922402876,16.760426995092224,0.97838422163745,57,57,0.11409311060721676,0.008924682056374129,64,0.10598715712631268,1.4049071206883177,0.08382287164281087,1.4359462158302467,12.313689347334288,157.41817039688422,0.006323654949682831,0.0,0.25,0.890625,1.0,False,False,True,True
0,BT_36_H,0.3,546893,121,4519.7768595041325,41.298154028496604,25.713270812178806,1.330549957429137,57,57,0.1068037454241483,0.0044623410281870645,64,0.05615593418556486,1.9194409230592653,0.07464787101881039,1.4425921494657532,17.971663029574618,430.14214084822765,0.002183928081174614,0.0,0.234375,0.921875,1.0,False,False,True,True
0,BT_36_V,0.3,546893,121,4519.7768595041325,19.92546105069186,12.570089339872355,0.6633861177047586,57,57,0.05370032543440238,0.0044623410281870645,64,-0.02185527725132763,0.8935332741316153,0.07108408301421737,1.3469279056111996,16.639252498071183,200.23867931372226,0.0017386731836505438,0.0,0.1875,0.890625,0.96875,False,False,True,True
0,BT_89_H,0.6,546893,121,4519.7768595041325,26.062799389730873,18.17835273644803,1.128258788023116,57,57,0.13524223181808065,0.008924682056374129,64,-0.04578864886006606,1.906734532899506,0.10489039136513496,1.6899797751545989,14.098662135835834,213.6473345330762,0.0025188557799441713,0.0,0.3125,0.90625,1.0,False,False,True,True
0,BT_89_V,0.6,546893,121,4519.7768595041325,15.71333043450025,11.78979539949066,0.6320971085414181,57,57,0.07124153981013738,0.008924682056374129,64,-0.13969929052599683,0.8501863694596623,0.07211205459056497,1.345024930459643,11.933857293447836,95.26237059083216,0.011849170048534691,0.0,0.25,0.90625,0.96875,False,False,True,True
1,BT_06_H,0.3,114389,32,3574.65625,79.15594372889367,40.56305581674991,1.490048745724702,15,15,0.39356536302990647,0.005017693301096608,17,-0.6565623110247496,1.2872392921297613,0.031734278056985414,0.8638907256042136,3.2707128549621522,256.54005035509795,0.016186214223870975,0.0,0.0,0.6470588235294118,1.0,False,False,True,True
1,BT_06_V,0.3,114389,32,3574.65625,46.16955942551568,23.924170043710227,0.8652734045017237,15,15,0.17666510631837337,0.005017693301096608,17,-0.41838440260150045,0.7030891694321142,0.029388236588669438,0.8125630185490273,3.979785165753426,140.1219897753526,0.017487938007341476,0.0,0.0,0.6470588235294118,1.0,False,False,True,True
1,BT_10_H,0.6,114389,32,3574.65625,76.61856891583218,39.633489212842164,1.3230445879237867,15,15,0.30393185576003023,0.010035386602193216,17,-0.7660264860780673,1.4688478951671993,0.03706077674057672,1.1102028673668642,4.832819815790978,146.36684697789173,0.019327757946425193,0.0,0.11764705882352941,0.8235294117647058,1.0,False,False,True,True
1,BT_10_V,0.6,114389,32,3574.65625,42.72245199531421,22.476999927998126,0.7019997420514276,15,15,0.1879652627396699,0.010035386602193216,17,-0.40490188711317937,0.7025712942935409,0.031257342908045035,1.0008141772822354,3.737771990703386,70.00938998603155,0.018014053851057747,0.0,0.058823529411764705,0.6470588235294118,1.0,False,False,True,True
