replicate_id,n_samples,mcc
0,305,-0.004923092450167711
1,310,0.05823931458280779
2,290,0.07881727148454548
3,306,-0.006592515020217919
4,274,-0.11516689787956581
5,303,0.04863750126901275
6,306,0.005197893915708155
7,308,-0.0206200872050894
8,309,0.028973413399761238
9,269,0.07580924375511375
10,306,0.026628481992985776
11,309,-0.028973413399761238
12,300,0.025220763037411283
13,308,-0.0262953111423425
14,309,0.03615126344176586
15,308,-0.0004650194624890176
16,304,-0.010982296459385733
17,295,-0.043303616912823716
18,308,-0.006840211256346713
19,310,0.006677805632941778
20,310,0.06482037235521644
21,307,0.01015285037016202
22,305,-0.04160618244616992
23,310,0.03961798748024252
24,291,-0.029672904957298882
25,309,-0.04221338080394069
26,305,0.009181059352710066
27,307,-0.002754497597052254
28,272,0.03833194738921655
29,309,0.0289529578747939
30,309,0.016589685445314216
31,278,-0.05308672324185449
32,299,0.009415369827391938
33,310,0.0774338599379501
34,310,-0.019552792933033764
35,288,-0.090026369926613
36,295,0.05340890724419931
37,307,-0.003676726012624403
38,303,0.009731204187957889
39,295,-0.03995151758257998
40,294,0.03133562716704207
41,270,-0.1449425761483854
42,309,0.016527308878229684
43,306,-0.020579229932530956
44,309,0.04196580231701491
45,309,-0.029188029190012607
46,309,-0.02242470833755447
47,303,0.02323756873061967
48,309,0.02328916757519918
49,300,-0.01867554714902157
50,309,-0.010169470183537768
51,309,0.015926780397421323
52,299,-0.014668573157444766
53,303,-0.02577858613743548
54,302,0.032187838385990736
55,310,-0.013001274187308594
56,304,0.052334987442058965
57,305,-0.010566619490918897
58,305,-0.014131269593987004
59,309,0.010112241522172268
60,289,-0.05602268400592289
61,308,-0.025202637067610934
62,307,-0.003676726012624403
63,303,0.05234631266683327
64,275,-0.07775314119522844
65,305,-0.024410097654477107
66,308,-0.019530405655620895
67,287,0.09677902027601096
68,302,-0.03449218102654814
69,308,-0.02785186594924611
70,304,0.000652436953043505
71,298,0.052411990516954235
72,303,0.032434480820948366
73,309,-0.03018439470118529
74,307,0.0038779153128291714
75,310,0.025963080785400414
76,309,0.0029455368502595523
