replicate_id,n_samples,mcc
0,217,0.17559637273770481
6,216,-0.17073170731707318
7,207,0.08578972110075726
18,214,-0.10690709830924743
19,249,0.017229418503391943
20,279,-0.13465273800405583
29,247,-0.029078366116686613
33,215,-0.07986480125459423
34,216,-0.06768737088743446
35,217,-0.179025356436627
39,215,0.09526020335349271
45,217,-0.16666666666666666
48,204,0.03165916929302491
51,217,0.14155546659417956
53,243,-0.018102907588877344
57,217,-0.11150859922997375
62,203,-0.06693290334458457
63,247,-0.04540190345946296
64,247,-0.09311109212512976
65,247,-0.19253152928351636
69,225,-0.07381642452809006
73,216,0.08798529769907215
74,216,0.22292192888449738
84,238,-0.09129640590720722
85,228,-0.09832506203473945
89,247,-0.19366719638783794
91,216,-0.16282240225645903
92,217,-0.2299459010591179
97,215,0.09526020335349271
99,216,-0.17073170731707318
104,222,-0.08393044668177618
105,242,-0.17835471446119242
119,214,-0.16296948538481665
120,212,0.0915965098413051
121,217,-0.10356107385989036
132,247,0.03638566018708269
137,203,-0.2060789258223339
138,207,-0.2350418206205755
143,216,0.24494499950026039
144,217,-0.13523197575247356
153,202,0.06111454539642284
154,200,0.004185016341265212
157,215,-0.16688744655769053
161,221,-0.2957268891269588
174,216,0.08295252176997336
179,202,-0.030112262503865395
183,214,-0.0997858174011815
184,216,-0.09972784723641816
186,217,-0.14907119849998599
198,207,-0.14191217395624403
201,235,-0.1647033745577371
202,216,0.08295252176997336
206,217,-0.16666666666666666
207,204,-0.3312310953601472
210,216,-0.17073170731707318
214,247,-0.32524753323063194
215,216,-0.16282240225645903
222,247,-0.08567536533351162
232,200,-0.08963316323475064
234,246,0.024655683636076897
235,241,0.0013212441832658021
236,217,0.11150859922997375
244,245,0.028282563271346598
245,217,-0.05529505365291335
247,217,-0.2270366459394722
249,246,-0.2145906914477897
255,217,0.13270812876699203
256,244,-0.010585736591397032
259,216,-0.16282240225645903
265,217,-0.02041241452319315
272,276,-0.16394389043972085
279,217,-0.13043729868748774
284,243,-0.0800601331417189
285,217,-0.10356107385989036
287,216,-0.17073170731707318
289,235,-7.2801706469262e-05
291,209,-0.1258988107847396
293,216,-0.11559751716129021
294,248,0.00816088638568548
302,217,-0.03795721556079595
303,200,-0.020833333333333332
311,247,0.003510346462250498
312,238,-0.08841933683250419
314,272,-0.07418201672013588
318,231,0.05888594365876271
320,217,0.08000938831904314
321,216,-0.24139613226579004
326,247,0.021209353291483015
327,240,-0.23219182474467284
328,240,0.003815847968778007
329,217,0.1520613975455117
330,217,-0.09558988911273408
335,217,0.08759269928852931
336,217,0.06930007727578014
340,216,-0.08376415864883675
341,246,0.024549786646232672
354,217,-0.16666666666666666
356,247,-0.019869885635380176
358,217,0.19139420167833787
362,217,-0.06342083211746768
365,215,0.09453512645471501
368,215,0.24181594786635355
369,217,-0.07956710639677249
370,247,-0.22330047866184843
371,217,-0.07956710639677249
375,217,-0.11150859922997375
382,231,-0.10141116552491322
383,216,-0.16282240225645903
387,204,0.28610031577861056
391,215,-0.07101226324428586
392,262,-0.12955194779089216
