replicate_id,mcc
0,-0.02710550161960541
1,0.0005896645029676032
2,0.017492095152909882
3,-0.010399025471748457
4,0.03786983790487439
5,-0.014278624719054061
6,0.014976394610824074
7,0.008766855145218832
8,0.03433288201133446
9,0.02803055596002194
10,-0.00909718909421642
11,0.005882153190372619
12,0.00472782261407156
13,0.04348499570952673
14,-0.027810619643854288
15,0.005081378738324738
16,0.0017963057332121505
17,-0.018496764767147768
18,0.009204400776326989
19,0.039546937652195545
20,0.011249977931608455
21,0.02581647646575395
22,0.019062744741496735
23,0.030443500279776665
24,0.02617581239257794
25,-0.02659149942860607
26,0.03784732254578309
27,-0.004599279995347692
28,0.01090446401175525
29,0.03647350165529319
30,0.06011782065436984
31,0.04713176479613733
32,0.04981447532809622
33,0.07590740333809474
34,0.023424479494485752
35,-0.00017249488137783235
36,0.07829478393201934
37,-0.0746486301950582
38,-0.021815349859165972
39,0.046351409525444046
40,-0.015086819054460614
41,-0.0017913484551022533
42,0.01187314490983858
43,0.003326117120391583
44,-0.08616123736050957
45,0.005266427233207145
46,0.022833177759929203
47,0.02122484354057493
48,-0.04849175497628259
49,0.0577303788690479
50,-0.02168350413579085
51,0.052247064905647636
52,0.0791826225964163
53,-0.0058829840975124495
54,-0.0024567613359662652
55,0.002606780380044805
56,0.03318301546852379
57,-0.04033715775351173
58,-0.0022509176854603663
59,0.06242086634495572
60,0.03871039542967485
61,0.02213666740037167
62,0.03814258915389667
63,0.01164927028873196
64,-0.026996450410547712
65,-0.005379795178518509
66,-0.01220295568638918
67,-0.01586355335143214
68,-0.004416248304379751
69,-0.007285087682954046
70,-0.007610297781661464
71,-0.014423302047549746
72,-0.006033524489095301
73,0.029688741033156964
74,-0.05400660720015303
75,0.026067714518746222
76,0.048929028190322535
77,0.027513239859696333
78,-0.04773944285351265
79,-0.05126677688048521
80,-0.05240644684678958
81,0.08831925491259283
82,0.018977904382058916
83,-0.015439753482714029
84,0.005664788489661112
85,-0.013157427919548591
86,0.0378116037711283
87,-0.06483957439028715
88,-0.009398484587191756
89,-0.00016054466871700163
90,-0.05229183047882035
91,-0.018447949452494502
92,-0.013957222399738964
93,0.03250369542964224
94,-0.035811547413300844
95,0.040704706646109166
96,-0.011278387421922801
97,-0.050336023256621225
98,-0.008068878516199371
99,-0.0078693748831319
