replicate_id,n_samples,mcc
0,279,0.08909431482135602
1,280,0.2802220806984069
2,278,0.44939445062263844
3,279,0.050725187270167955
4,279,0.007074963786774253
5,280,-0.2970541371270489
6,279,0.16271487919426825
7,279,0.07726502044072689
8,279,0.09499971115354265
9,278,0.3500733932665693
10,280,0.1143827222257211
11,280,0.15011675693345686
12,278,0.16106180135032114
13,279,0.07489026604280415
14,279,-0.22763951240468558
15,280,-0.01978646496772109
16,280,0.11534061286061807
17,278,0.0
18,279,0.264499296707084
19,280,0.062400239361786854
20,280,0.09047686960710402
21,278,0.32720219209199064
22,279,0.25807937304373624
23,279,0.299528872121125
24,280,0.24148202440065591
25,278,0.11136072912306395
26,278,0.17702619123551847
27,279,-0.08820867219344221
28,279,0.13091968975842067
29,278,0.21114195681087625
30,278,0.1275996660561745
31,278,0.36386448892357215
32,278,0.1901106061436938
33,279,0.3025228422407837
34,279,-0.010172355734639493
35,278,0.2185341884580587
36,279,0.2450840246196387
37,279,0.17720405629139072
38,279,0.32647701279202124
39,278,0.31433620428212405
40,279,0.31678219470988217
41,279,0.1677495034660157
42,279,-0.1982020041956903
43,278,0.16544701821690352
44,279,0.2492414650346652
45,279,-0.24012245480238648
46,279,0.11646063502381875
47,280,0.16142738101730222
48,279,0.2445176280925096
49,278,0.1080236902121883
50,279,-0.17285557821929218
51,279,0.2869388779896979
52,278,0.11289531459259956
53,280,0.08475379455959006
54,279,0.37937468493019333
55,279,0.17442099199256045
56,279,0.2543802211433162
57,280,0.25031533816772894
58,280,0.17363132654408023
59,280,0.043559786719350964
60,279,0.0044861799972002354
61,280,0.09241201089190204
62,279,0.2478928990902618
63,279,0.029379447440258985
64,278,0.31754264805429416
65,279,0.2718235570597762
66,279,0.14630509624265564
67,280,0.1328554550706152
68,278,0.23263729302119804
69,278,0.47757548712536185
70,279,0.09532683083347827
71,279,0.1945697763641513
72,280,0.24492106495031296
73,279,-0.014191767293766328
74,280,0.1540543762749233
75,279,-0.2467849782722902
76,279,0.3588846054786793
77,279,-0.09173370155300639
78,279,-0.09371134143912002
79,279,0.24926328838314912
80,278,0.2933676269879902
81,278,0.07798297585449437
82,279,0.3396962831542819
83,279,-0.057159428253522354
84,279,0.31205765446228023
85,278,-0.14651611636652895
86,278,-0.03232436102945145
87,279,0.026307087164256743
88,279,0.1382304948152863
89,279,-0.05360477335973494
90,279,-0.11605978583349687
91,279,0.05664489177142904
92,279,-0.0244513001290019
93,278,-0.06880619614629216
94,280,0.2075143391598224
95,278,0.19865778742878787
96,278,0.16348382557531943
97,278,0.056716315261494406
98,279,0.08065056788136452
99,280,0.2621692644226134
100,279,-0.29900700808559777
101,280,0.22958834173364165
102,279,-0.131615135151021
103,279,0.06605903532278799
104,280,0.10566112966540278
105,279,0.16559461351088295
106,279,0.42131264519329614
107,279,-0.1916028532923916
108,278,-0.06454362509914831
109,280,0.07894736842105263
110,279,0.07176010480725138
111,279,-0.1813005628032474
112,280,0.11659702236523431
113,280,0.13979439684895012
114,279,0.08145432378976467
115,279,0.3394455906304929
116,279,0.27126129448221864
117,280,-0.1845157246187407
118,280,-0.018873607482048416
119,278,-0.22848355520987756
120,280,0.11189238858671932
121,278,0.16820551195489414
122,279,-0.08421477070141883
123,279,0.08844355894239639
124,279,0.3019560311851966
125,279,-0.34773776298083536
126,280,0.33527225288208923
127,279,0.08389600951417277
128,280,0.23018362932082656
129,278,0.16343754929163187
130,279,0.2844303774057994
131,278,0.07568358445944201
132,279,-0.08936089686154985
133,280,-0.03306779232926687
134,280,0.08360700675749233
135,278,0.08878756537335729
136,279,0.03867396549310547
137,279,0.043297014359164214
138,279,-0.05507007457887543
139,278,0.2933676269879902
140,278,0.10425413123283034
141,280,0.06597071224711053
142,280,0.301591853926092
143,280,0.12212171052631579
144,278,0.30082614511456557
145,279,0.18141125178878115
146,279,0.029119640525148628
147,280,0.2727904490491118
148,280,0.2856057329265886
149,278,0.16394454226817615
150,278,0.2630311652310676
151,279,-0.23346609082030287
152,279,0.29430955878798737
153,279,0.15132828328709116
154,278,0.3191491861301213
155,280,0.24148202440065591
156,280,0.025122100848463922
157,280,0.05080049416169949
158,279,0.009924475909853944
159,279,0.05620422081493531
160,278,-0.2780074489247642
161,278,0.08375427702830739
162,279,-0.006231217817907166
163,278,-0.04979831329077432
164,278,0.271687533609482
165,279,-0.044366682026856855
166,278,-0.14083161495574695
167,280,0.3115525441289909
168,280,0.25398153926406275
169,279,-0.24709438690008237
170,279,0.24872325580392227
171,279,0.28352041071477607
172,280,0.07824914826519841
173,279,0.027136631892339575
174,280,0.10451419276611866
175,279,0.21027208548633475
176,278,0.2711370143184248
177,279,0.3291904165912085
178,280,0.05712085239613004
179,280,0.14987146717098285
180,279,0.22415616838588948
181,278,0.3075271148125611
182,279,0.3366531491266319
183,279,-0.1331698874282171
184,278,-0.2105169603228072
185,279,0.11327856820654648
186,279,-0.05817110141192204
187,280,0.2761088765793461
188,278,0.2700705914203152
189,278,-0.002285425975576229
190,280,-0.09701427398732337
191,279,0.2800790272575592
192,279,0.29502307406983663
193,278,0.4059641202776296
194,278,0.3427544370409373
195,278,0.3161830312972267
196,278,0.2738210287133543
197,280,0.2111152237423251
198,280,0.10381403840828618
199,279,0.22210122858342524
200,278,0.1829195246432077
201,280,0.2660359154256151
202,280,-0.271570570114594
203,279,0.36027950885848514
204,278,0.08385405509866643
205,279,0.2876680575086635
206,279,0.025819260317642995
207,280,0.2569855826814343
208,278,0.08650576641762142
209,279,0.18210734072833695
210,280,0.20599140606648822
211,278,-0.05550338505087682
212,278,-0.01705394159065574
213,279,0.3097189208231815
214,279,0.2918719745725443
215,279,0.05966717066842719
216,278,-0.08111791677285991
217,279,0.02193103213613569
218,279,0.16949682293415025
219,279,0.31859376666102374
220,279,-0.055717262404945
221,279,-0.06438132663956468
222,278,0.11947679730523358
223,280,0.25752676357197785
224,279,0.23675392254766636
225,278,0.2191359657801386
226,279,0.3079958634910952
227,279,0.15505283588508859
228,279,0.2945333604813746
229,278,0.22621604903873782
230,278,0.285570824366326
231,278,0.13530461221536336
232,280,0.14987146717098285
233,280,0.1740605224551568
234,280,0.26804072191296197
235,280,0.2609943294923179
236,279,0.256957358933314
237,278,0.0005386330104114783
238,279,0.3451395056670653
239,279,0.10191882160232749
240,278,-0.07798297585449437
241,280,0.2660359154256151
242,279,-0.06579059489503908
243,280,-0.08889675343220167
244,279,0.09220001983682315
245,279,0.3515941830773361
246,278,0.04429412308221759
247,280,0.090185144122935
248,279,0.22379182616206886
249,278,0.2700705914203152
250,279,0.0814712693548036
251,280,0.11897267793139199
252,279,0.2643665799122175
253,279,0.22971336000300646
254,279,0.22971336000300646
255,278,0.3111239060977276
256,278,0.18212689799059767
257,280,-0.11138430260714306
258,279,0.2870422976265021
259,278,0.22413154232919374
260,279,0.013451133278782402
261,279,0.26589113287642374
262,279,-0.08272222902795064
263,280,-0.24432280464015532
264,279,0.16523305142661185
265,279,0.15856391205181025
266,279,0.052828144685422476
267,279,0.19402513136910635
268,278,0.31759273887047734
269,279,0.1711836545775829
270,278,0.1819339801372022
271,279,0.19363381322735912
272,278,0.2875626632453304
273,279,0.16504627587076282
274,279,0.3702161206075851
275,278,0.08886581294081942
276,279,0.02231744682240963
277,279,0.22817845303162942
278,278,0.3111239060977276
279,278,0.31871788136508455
280,279,-0.03445446661813852
281,279,-0.03378100273421793
282,278,0.200416341597211
283,280,0.0545544725589981
284,279,0.004405792809864887
285,279,0.17194258386087052
286,279,0.2478928990902618
287,278,0.19865778742878787
288,279,-0.15189693607173663
289,278,0.03906872956705978
290,279,0.32444209943019814
291,278,0.14629525471162144
292,280,0.24590153997792197
293,279,0.3105964876390521
294,279,0.2517302034903109
295,279,0.29222048326590494
296,278,0.14203635215689175
297,280,0.18034780482846266
298,279,0.25807937304373624
299,280,0.13546074917377296
300,278,0.22715416425176443
301,278,0.36438764589579803
302,280,0.18950500994178288
303,278,0.14654326024286676
304,279,0.014212311903177318
305,279,-0.04527897653144258
306,278,0.09748096315459018
307,278,0.18498552322537595
308,279,0.23856288826141658
309,279,0.09505925445693009
310,279,0.3785227836305428
311,279,0.24005766643487358
312,278,-0.10611004263992654
313,279,0.30487233775168865
314,279,-0.07823329543178963
315,279,0.08392369111879326
316,280,-0.2947084494469722
317,279,0.1651549889759133
318,280,-0.09734150564132997
319,278,0.01007900058358754
320,279,0.0828329006397802
321,280,0.06166412237670619
322,280,0.22286668406423
323,280,0.249099044418852
324,278,0.3515413726662778
325,280,0.09250935259013152
326,279,0.2643665799122175
