replicate_id,mcc
0,0.008589245702214171
1,-0.0023418072623577653
2,-0.023832341629747407
3,-0.008028063685522528
4,-0.007683047527643753
5,0.01144103754396154
6,-0.027994748067482988
7,-0.01664336957623175
8,-0.040610206926970795
9,-0.028706244147956025
10,-0.008650208796901874
11,0.028883574791266582
12,0.004482861250782286
13,-0.016183066236373694
14,-0.0014721205117369553
15,0.007332491895941013
16,-0.01931626613709623
17,-0.003619708826450344
18,0.017039179001616698
19,-0.009393537188873589
20,-0.002266578408087557
21,-0.037546547232406656
22,-0.02236190891297868
23,0.021242590829447773
24,-0.02709133591985159
25,-0.024964003073532682
26,0.027790948505655565
27,-0.016555555629118632
28,-0.001968483453221026
29,-0.05482260004819196
30,-0.04400903396908639
31,0.009091590544181571
32,-0.033032955730840495
33,0.003930886741832478
34,0.018730242865682208
35,0.016814094136958422
36,0.011527615230035822
37,-0.009155646766847205
38,-0.014860547926458396
39,0.008319713358877356
40,-0.0024222193695701273
41,-0.0009279227983362148
42,-0.02437740520943647
43,-0.014018176893702643
44,-0.007368934120965541
45,-0.04669113350393811
46,0.016775741920905876
47,-0.0017768427608580047
48,-0.01267816433287606
49,-0.01674942779373885
50,-0.01986111510800621
51,-0.03465495519099728
52,-0.004970906789002894
53,-0.02873522823000993
54,-0.001690495008208839
55,0.04297257057920671
56,-0.012552770878744918
57,-0.006833854938039623
58,0.010773879943237053
59,0.03454753383439456
60,-0.00553742216878363
61,-0.037878591407719445
62,-0.004896554297301275
63,0.0320892330872825
64,-0.012853458629988832
65,0.021709539756180847
66,-0.019416189994395497
67,-0.011344681043153433
68,-0.022654290754982265
69,-0.011541401971766138
70,-0.006674699751266048
71,-0.0005964835366380967
72,-0.01280912011855042
73,-0.004247917951929817
74,-0.02510897758899255
75,-0.02222640517064183
76,-0.009164279081103245
77,0.001974400036062254
78,0.015227127783713969
79,0.036855904902461926
80,-0.019245078927873072
81,-0.05034474774908876
82,-0.03110659241907136
83,-0.023189494769996575
84,-0.02326718828734128
85,0.017282663456474237
86,0.007314361170506933
87,-0.026951757385998695
88,0.01968572321513956
89,0.013553945009804691
90,0.014241400825405651
91,-0.02863832768319161
92,-0.010701897366794689
93,-0.010479319303469709
94,-0.01854406165074535
95,-0.011649020701617918
96,0.015779969973597166
97,-0.020603429055623197
98,-0.006661681871333825
99,-0.025788224358004156
