subset,real_mcc_raw,placebo_mean_raw,placebo_std_raw,p_value_raw_ge,real_mcc_resid,placebo_mean_resid,placebo_std_resid,p_value_resid_ge
land_all,0.07823555844616956,0.0025306449952174587,0.04952677840966032,0.009900990099009901,-0.08257682232883738,0.0012206279118210943,0.03240674765397389,1.0
zone_1,-0.04343798340759402,0.017836867033383667,0.12678696127377,0.5742574257425742,-0.08099496735594891,0.024606743740342087,0.10965819297821282,0.6138613861386139
zone_2,-0.03966843082344963,0.00895859802274094,0.06367897559872429,0.5742574257425742,-0.007675201980858301,0.0065457589290283695,0.029170706347928746,0.6138613861386139
