feature,freq_code,pol,variable,theta_deg,surface_temp_k,atm_temp_k,tau_band,eps_ref,delta_eps_frac,reflectivity_ref,emissivity_ref,tb_ref_k,tb_plus_k,tb_minus_k,delta_tb_plus_k,delta_tb_minus_k,dTB_dEps_k_per_unit,dTB_dLnEps_k
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,4.0,0.01,0.27211517919682526,0.7278848208031747,219.19813731613337,218.53112651651028,219.87249759005496,-0.6670107996230854,0.674360273921593,-16.767138419308466,-67.06855367723387
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,4.0,0.05,0.27211517919682526,0.7278848208031747,219.19813731613337,215.93387778333897,222.6463165232821,-3.264259532794398,3.4481792071487405,-16.781096849857832,-67.12438739943133
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,10.0,0.01,0.4675802362553282,0.5324197637446718,161.73141054093352,161.16123924370197,162.30863704748148,-0.5701712972315534,0.5772265065479587,-5.736989018897581,-57.36989018897581
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,10.0,0.05,0.4675802362553282,0.5324197637446718,161.73141054093352,158.94819531051596,164.69123834657785,-2.783215230417568,2.9598278056443235,-5.743043036061891,-57.430430360618914
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,25.0,0.01,0.6267172542310147,0.37328274576898535,114.94512725608169,114.50165399459972,115.39446273493732,-0.4434732614819694,0.4493354788556303,-1.7856174806751994,-44.640437016879986
BT_06_H,06,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,25.0,0.05,0.6267172542310147,0.37328274576898535,114.94512725608169,112.7838415743882,117.25318087389269,-2.161285681693485,2.308053617810998,-1.7877357198017934,-44.69339299504483
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,4.0,0.01,0.01300729404703033,0.9869927059529696,295.37585555017307,295.2430930324681,295.50731629984693,-0.13276251770497538,0.13146074967386312,-3.302790842235478,-13.211163368941913
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,4.0,0.05,0.01300729404703033,0.9869927059529696,295.37585555017307,294.69983417788796,296.01927753773407,-0.6760213722851063,0.6434219875609983,-3.2986083996152584,-13.194433598461034
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,10.0,0.01,0.09305575573554944,0.9069442442644505,271.84160781374845,271.46486182810696,272.21974522298154,-0.37674598564149164,0.3781374092330907,-3.774416974372925,-37.74416974372925
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,10.0,0.05,0.09305575573554944,0.9069442442644505,271.84160781374845,269.97193783843477,273.7460153446539,-1.869669975313684,1.9044075309054733,-3.7740775062191574,-37.740775062191574
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,25.0,0.01,0.23826068787688026,0.7617393121231197,229.1513577641972,228.6220497881202,229.68507092918827,-0.529307976077007,0.5337131649910702,-2.1260422821361544,-53.15105705340386
BT_06_V,06,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.98,25.0,0.05,0.23826068787688026,0.7617393121231197,229.1513577641972,226.54765999908813,231.86524199008946,-2.603697765109075,2.713884225892258,-2.1270327964005333,-53.17581991001333
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,4.0,0.01,0.27211517919682526,0.7278848208031747,219.61448285372387,218.95427828674997,220.28196190036053,-0.6602045669739027,0.6674790466366574,-16.596045170131987,-66.38418068052795
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,4.0,0.05,0.27211517919682526,0.7278848208031747,219.61448285372387,216.38353209167224,223.02747655875882,-3.2309507620516342,3.4129937050349497,-16.609861167716446,-66.43944467086578
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,10.0,0.01,0.4675802362553282,0.5324197637446718,162.7341512496995,162.1697980269295,163.30548768985412,-0.564353222769995,0.5713364401546244,-5.678448314623117,-56.784483146231175
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,10.0,0.05,0.4675802362553282,0.5324197637446718,162.7341512496995,159.97933617469437,165.6637767307964,-2.7548150750051263,2.929625481096906,-5.684440556102032,-56.844405561020324
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,25.0,0.01,0.6267172542310147,0.37328274576898535,116.42527901877475,115.98633099465482,116.87002944172369,-0.43894802411992373,0.4447504229489425,-1.7673968941377325,-44.18492235344331
BT_10_H,10,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,25.0,0.05,0.6267172542310147,0.37328274576898535,116.42527901877475,114.28604727260876,118.70978106905704,-2.13923174616599,2.284502050282299,-1.7694935185793157,-44.23733796448289
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,4.0,0.01,0.01300729404703033,0.9869927059529696,295.01487743231417,294.88346963417763,295.14499674576683,-0.1314077981365358,0.13011931345266703,-3.2690888948650323,-13.07635557946013
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,4.0,0.05,0.01300729404703033,0.9869927059529696,295.01487743231417,294.3457542372973,295.6517338893899,-0.6691231950168799,0.6368564570757371,-3.2649491302315394,-13.059796520926158
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,10.0,0.01,0.09305575573554944,0.9069442442644505,271.7207750809551,271.3478734421059,272.095053945196,-0.3729016388492141,0.37427886424092094,-3.7359025154506886,-37.35902515450689
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,10.0,0.05,0.09305575573554944,0.9069442442644505,271.7207750809551,269.8701833706956,273.6057498819534,-1.8505917102594935,1.8849748009982932,-3.7355665112577867,-37.35566511257787
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,25.0,0.01,0.23826068787688026,0.7617393121231197,229.46613982782785,228.94223295354755,229.9944069401149,-0.5239068742802999,0.5282671122870681,-2.104347973134736,-52.6086993283684
BT_10_V,10,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.97,25.0,0.05,0.23826068787688026,0.7617393121231197,229.46613982782785,226.88901040726068,232.15233135753755,-2.577129420567161,2.6861915297097028,-2.1053283801107456,-52.63320950276864
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,4.0,0.01,0.27211517919682526,0.7278848208031747,221.27986500408576,220.64688536770873,221.91981914158276,-0.6329796363770299,0.6399541374969999,-15.911672173425359,-63.646688693701435
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,4.0,0.05,0.27211517919682526,0.7278848208031747,221.27986500408576,218.18214932500533,224.5521167006657,-3.097715679080437,3.2722516965799286,-15.9249184391509,-63.6996737566036
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,10.0,0.01,0.4675802362553282,0.5324197637446718,166.74511408476343,166.2040331598396,167.29289025934466,-0.5410809249238184,0.5477761745812302,-5.444285497525263,-54.44285497525263
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,10.0,0.05,0.4675802362553282,0.5324197637446718,166.74511408476343,164.10389963140798,169.55393026767078,-2.6412144533554454,2.80881618290735,-5.450030636262795,-54.50030636262795
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,25.0,0.01,0.6267172542310147,0.37328274576898535,122.3458860695469,121.92503899487524,122.77229626886908,-0.42084707467166993,0.42641019932217716,-1.6945145479876942,-42.362863699692355
BT_23_H,23,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,25.0,0.05,0.6267172542310147,0.37328274576898535,122.3458860695469,120.29487006549085,124.53618184971448,-2.051016004056052,2.190295780167574,-1.6965247136894503,-42.41311784223626
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,4.0,0.01,0.01300729404703033,0.9869927059529696,293.57096496087854,293.44497604101565,293.69571852944654,-0.12598891986289118,0.12475356856799635,-3.1342811053860915,-12.537124421544366
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,4.0,0.05,0.01300729404703033,0.9869927059529696,293.57096496087854,292.9294344749345,294.181559296013,-0.6415304859440312,0.6105943351344649,-3.1303120526962376,-12.52124821078495
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,10.0,0.01,0.09305575573554944,0.9069442442644505,271.2374441497817,270.87991989810155,271.5962888340539,-0.3575242516801609,0.3588446842721851,-3.5818446797617427,-35.818446797617426
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,10.0,0.05,0.09305575573554944,0.9069442442644505,271.2374441497817,269.4631654997391,273.04468803115117,-1.7742786500426178,1.807243881369459,-3.5815225314120767,-35.81522531412077
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,25.0,0.01,0.23826068787688026,0.7617393121231197,230.72526808235042,230.22296561525692,231.2317509838215,-0.5023024670935001,0.5064829014710881,-2.0175707371291765,-50.43926842822941
BT_23_V,23,V,surface_dielectric_eps_r,55.0,300.0,260.0,0.93,25.0,0.05,0.23826068787688026,0.7617393121231197,230.72526808235042,228.25441203995095,233.3006888273298,-2.4708560423994754,2.5754207449793682,-2.0185107149515376,-50.46276787378844
BT_36_H,36,H,surface_dielectric_eps_r,55.0,300.0,260.0,0.88,4.0,0.01,0.27211517919682526,0.7278848208031747,223.36159269203813,222.76264421890718,223.96714069311054,-0.598948473130946,0.6055480010724068,-15.056205927541896,-60.224823710167584
